id,name,url,program,degree,country,state,online,oncampus,department,created_at,updated_at,university_count,program_size,courses,admit_reqs,year_founded,notes,cost,visualization,machine learning,business,databases,programminglanguages,capstone,mapreduce,part-time,ethics
42,Harrisburg University Of Science And Technology,http://www.harrisburgu.edu/academics/graduate/analytics/,Analytics,Masters,US,PA,TRUE,TRUE,none,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,"Coursework covers everything from database management, statistical analysis and data mining, to project management and business intelligence.",,,,,,,,,,,,,
43,Texas A&M University,http://analytics.stat.tamu.edu/,Analytics,Masters,US,TX,FALSE,TRUE,Statistics,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
44,Columbia University,http://idse.columbia.edu/masters,Data Science,Masters,US,NY,FALSE,TRUE,Institute for Data Sciences and Engineering,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,50-75 per year,"30 credits. probability, statistical inference, algorithms, computer systems, machine learning, EDA and visualization, ethics","quantitative coursework, intro programming coursework",2014,,,,,,,,,,,
45,University of Illinois,http://www.stat.illinois.edu/degrees/msanalytics.shtml,Analytics,Masters,US,IL,FALSE,TRUE,Statistics,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
46,National University of Singapore,http://msba.nus.edu/home,Business Analytics,Masters,SG,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,option,yes,yes,,,,,
47,Barcelona School of Management,http://www.barcelonaschoolofmanagement.upf.edu/master-of-science-in-management-specialization-in-business-analytics,Management - Business Analytics,Masters,ES,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
48,Erasmus University,http://www.rsm.nl/master/msc-business-information-management/curriculum/starting-point/electives/big-data-and-business-analytics-block-5/,Big Data and Business Analytics,Masters,NL,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
49,Radboud Universiteit Nijmegen,http://www.ru.nl/businessadministration/study_programmes/master%27s_programmes_0/business_analysis/,Business Analysis and Modelling,Masters,NL,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
50,University Of Pisa,http://www.unipi.it/index.php/ects/ects?ects_id=WBI-LM,Business Informatics,Masters,IT,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
51,Vrije Universiteit Amsterdam,http://www.vu.nl/nl/opleidingen/masteropleidingen/opleidingenoverzicht/a-b/business-analytics/index.asp,Business Analytics,Masters,NL,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,"30 credits. data mining for business, database management, web analytics, text analytics, data warehousing","statistics, forecasting, modeling",,,,,,,,,,,,
52,University of Warwick,http://www2.warwick.ac.uk/fac/sci/statistics/courses/datsci,Data Science,Bachelors,GB,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,3,,,,,,,,,,,,,,,
53,University of Maryland University College (UMUC),http://www.umuc.edu/academic-programs/masters-degrees/data-analytics.cfm,Data Analytics,Masters,US,MD,TRUE,FALSE,none,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
54,"University of California, Irvine",http://unex.uci.edu/areas/it/predictive_analytics/courses.aspx,Predictive Analytics,Certificate,US,CA,TRUE,TRUE,UCI Extension,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
55,"University of California, Berkeley",http://extension.berkeley.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=17152&selectedProgramAreaId=15499&selectedProgramStreamId=16388,Business Intelligence and SAS Analytics Software,Certificate,US,CA,FALSE,TRUE,UC Berkely Extension,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,3,,,,,,,,,,,,,,,
56,University of Otago,http://www.otago.ac.nz/business/study/postgraduate/otago052118.html,Business Data Science,Masters,NZ,,FALSE,TRUE,Business,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
57,University Of San Francisco,http://usfca.edu/artsci/bsds/,Data Science,Bachelors,US,CA,FALSE,TRUE,College of Arts and Sciences,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,,"programming, data structures, visualization, data mining, calculus, linear algebra, statistics, modeling, economics, concentrations in computational analytics, mathematical analytics, or economic analytics",,,,$42180 per year,,,,,,,,,
58,"Goldsmiths, University of London",http://www.gold.ac.uk/pg/msc-data-science/,Data Science,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
59,Coventry University,http://www.coventry.ac.uk/course-structure/2013/faculty-of-engineering-and-computing/postgraduate-degree-mba-msc-ma/data-science-and-computational-intelligence-msc/,Data Science and Computational Intelligence,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
60,Northern Kentucky University,http://informatics.nku.edu/content/informatics/departments/computer-science/programs/datascience.html,Data Science,Bachelors,US,KY,FALSE,TRUE,Computer Science,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
61,Carnegie Mellon University,http://www.ml.cmu.edu/prospective-students/PhD%20Programs.html,Machine Learning,Doctorate,US,PA,FALSE,TRUE,Computer Science and Statistics,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,2,,,,,,,,,,,,,,,
62,The University of Iowa,http://tippie.uiowa.edu/management-sciences/undergraduate.cfm,Business Analytics,Bachelors,US,SD,FALSE,TRUE,Business,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
63,"University of California, Berkeley",http://datascience.berkeley.edu/,Information and Data Science,Masters,US,CA,TRUE,FALSE,School of Information,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,3,,,,,,,,,,,,,,,
64,Universitat Pompeu Fabra,http://www.upf.edu/iis/program.html,Intelligent Interactive Systems,Masters,ES,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
65,National College Of Ireland,http://www.ncirl.ie/Courses/Course-Details/course/Higher-Diploma-in-Science-in-Web-Technologies-HDSWTECH1,Data Analytics,Certificate,IE,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
66,Universities Of Alicante,http://www.iuii.ua.es/MLDM/overview.php,Machine Learning And Data Mining,Masters,ES,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
67,Leeds Met,http://courses.leedsmet.ac.uk/businessintelligencesas_msc,usiness Intelligence,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
68,University College Cork,http://www.ucc.ie/en/ckr49/,Data Science and Analytics,Masters,IE,,FALSE,TRUE,,2015-01-10 04:13:14 UTC,2015-01-10 04:13:14 UTC,1,,,,,,,,,,,,,,,
69,Illinois Institute of Technology,http://www.iit.edu/csl/cs/programs/grad/mcs_da.shtml,Data Analytics,Masters,US,IL,FALSE,TRUE,Computer Science,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,2,,,,,,,,,,,,,,,
70,Illinois Institute of Technology,http://www.iit.edu/csl/programs/professional_masters/data_science.shtml,Data Science: Analytics Professional Master's Programs,Masters,US,IL,FALSE,TRUE,College of Science,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,2,,,,,,,,,,,,,,,
71,Georgia Tech,http://www.cc.gatech.edu/future/masters/mscs/program,Computer Science Specialization In Machine Learning,Masters,US,GA,FALSE,TRUE,Computer Science,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
72,University of Pittsburgh,http://www.ischool.pitt.edu/ist/degrees/specializations/big-data.php,Big Data Analytics ,Masters,US,PA,FALSE,TRUE,Information Sciences,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
73,Irish Management Institute,http://www.imi.ie/news-and-events/we-mean-business-with-data-business/,Data Business,Masters,IE,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
74,Robert Gordon University,http://www.rgu.ac.uk/computing/study-options/postgraduate-taught-full-time/computing-information-engineering,Information Engineering,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
75,University of Manchester,http://www.mbs.ac.uk/masters/courses/analytics-operational-research-risk-analysis/index.aspx,Business Analytic,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
76,Aston University,http://www1.aston.ac.uk/aston-business-school/programmes/postgraduate/msc-programmes/msc-business-analytics-and-information-systems-management/,Business Analytics,Masters,GB,,FALSE,TRUE,,2015-01-10 04:13:15 UTC,2015-01-10 04:13:15 UTC,1,,,,,,,,,,,,,,,
